TAR?H,KUR?UNSUZ BENZ?N (TL/LT),GAZ YA?I (TL/LT),TP MOTOR?N (TL/LT),MOTOR?N (TL/LT),KALOR?FER YAKITI (TL/KG),FUEL OIL (TL/KG),Y.K. FUEL OIL (TL/KG),TPGAZ
01.01.2022,"12,94","11,74","12,76","12,72","10,48","9,25","8,16","9,05"
05.01.2022,"12,92","11,74","12,79","12,75","10,48","9,25","8,16","9,05"
07.01.2022,"12,92","12,44","12,79","12,75","10,48","9,25","8,16","9,05"
08.01.2022,"13,55","12,81","13,73","13,68","11,41","10,08","8,78","9,05"
10.01.2022,"13,55","12,81","13,73","13,69","11,41","10,08","8,78","9,05"
12.01.2022,"13,55","12,81","13,73","13,69","11,41","10,08","8,78","9,35"
14.01.2022,"13,55","13,47","13,73","13,69","11,41","10,08","8,78","9,35"
19.01.2022,"13,55","13,47","14,25","14,21","11,41","10,08","8,78","9,35"
20.01.2022,"14,03","13,47","14,31","14,27","11,41","10,08","8,78","9,35"
21.01.2022,"14,03","13,47","14,31","14,27","12,07","10,63","9,37","9,35"
28.01.2022,"14,05","13,47","14,31","14,27","12,07","10,63","9,37","9,35"
02.02.2022,"14,44","13,47","14,63","14,59","12,07","10,63","9,37","9,35"
04.02.2022,"14,44","13,47","14,63","14,59","12,07","10,63","9,37","9,74"
05.02.2022,"14,44","14,04","14,63","14,59","12,07","10,63","9,37","9,74"
08.02.2022,"14,44","14,43","15,43","15,39","12,91","11,43","9,75","9,74"
09.02.2022,"15,15","14,43","15,43","15,39","12,91","11,43","9,75","9,74"
10.02.2022,"15,19","14,43","15,45","15,41","12,91","11,43","9,75","9,74"
20.02.2022,"15,19","14,43","15,53","15,49","12,91","11,43","9,75","9,74"
23.02.2022,"15,14","14,43","15,50","15,46","12,91","11,43","9,75","9,74"
26.02.2022,"16,75","14,43","17,01","16,97","12,91","11,43","9,75","9,74"
01.03.2022,"16,53","14,43","16,07","16,04","13,36","11,80","9,91","10,08"
02.03.2022,"16,53","15,12","16,07","16,04","13,36","11,80","9,91","10,68"
03.03.2022,"17,41","16,21","17,59","17,55","14,63","12,90","10,52","10,68"
04.03.2022,"17,94","17,37","18,92","18,88","15,60","13,63","10,97","10,68"
05.03.2022,"18,68","18,03","19,80","19,76","16,29","14,14","11,67","10,68"
08.03.2022,"19,25","19,03","21,24","21,20","16,98","14,38","11,88","10,68"
09.03.2022,"20,32","20,48","22,83","22,79","18,36","15,52","12,99","10,68"
